source_row,record_type,source_bpm_id,source_gas_id,source_name,source_address,source_url,runtime_domain,runtime_name,parent_source_row,configured_srv_num,mapped_srv_num,confirmed_srv_nums,building_id,building_name,building_id_status,mapping_status,source_id_conflict
36,first_instance,TERRITORIAL_COURT_7978,03RS0010,Белорецкий межрайонный суд Республики Башкортостан,"453500, Республика Башкортостан, Белорецкий район, г. Белорецк, ул. Пушкина, д. 61",https://belorecky.bkr.sudrf.ru/modules.php?name=sud_delo,belorecky--bkr.sudrf.ru,Белорецкий межрайонный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
37,first_instance,TERRITORIAL_COURT_7979,03RS0030,Бижбулякский районный суд Республики Башкортостан,"452040, Республика Башкортостан, Бижбулякский район, с. Бижбуляк, ул. Советская, 33",https://bizhbuliaksky.bkr.sudrf.ru/modules.php?name=sud_delo,bizhbuliaksky--bkr.sudrf.ru,Бижбулякский межрайонный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
38,first_instance,TERRITORIAL_COURT_7980,03RS0031,Благоварский межрайонный суд Республики Башкортостан,"452740, Республика Башкортостан, Благоварский район, с. Языково, ул. Пушкина, 15",https://blagovarsky.bkr.sudrf.ru/modules.php?name=sud_delo,blagovarsky--bkr.sudrf.ru,Благоварский межрайонный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
39,first_instance,TERRITORIAL_COURT_7981,03RS0032,Бирский межрайонный суд Республики Башкортостан,"452450, Республика Башкортостан, Бирский район, г. Бирск, ул. Коммунистическая, 29",https://birsky.bkr.sudrf.ru/modules.php?name=sud_delo,birsky--bkr.sudrf.ru,Бирский межрайонный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
40,first_instance,TERRITORIAL_COURT_7982,03RS0033,Благовещенский районный суд Республики Башкортостан,"453431, Республика Башкортостан, г. Благовещенск, ул. Комарова, д.21, кор. 2",https://blagoveschensky.bkr.sudrf.ru/modules.php?name=sud_delo,blagoveschensky--bkr.sudrf.ru,Благовещенский районный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
41,judicial_presence,TERRITORIAL_COURT_7983,03RS0031_Buzdiak,Благоварский межрайонный суд Республики Башкортостан (судебное пристуствие в с. Буздяк),"452710, Республика Башкортостан, Буздякский район, с. Буздяк, ул. Гагарина, 8",https://blagovarsky.bkr.sudrf.ru/modules.php?name=sud_delo,blagovarsky--bkr.sudrf.ru,Благоварский межрайонный суд,38,,1,[1],913410001,Постоянное судебное присутствие в с. Буздяк,named_catalog_entry,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,False
42,first_instance,TERRITORIAL_COURT_7986,03RS0037,Гафурийский межрайонный суд Республики Башкортостан,"453050, Республика Башкортостан, Гафурийский район, п. Красноусольский, ул. Коммунистическая, д. 25",https://gafuriysky.bkr.sudrf.ru/modules.php?name=sud_delo,gafuriysky--bkr.sudrf.ru,Гафурийский межрайонный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
43,first_instance,TERRITORIAL_COURT_7987,03RS0038,Давлекановский районный суд Республики Башкортостан,"453400, Республика Башкортостан, Давлекановский район, г. Давлеканово, ул. Садовая, 19",https://davlekanovsky.bkr.sudrf.ru/modules.php?name=sud_delo,davlekanovsky--bkr.sudrf.ru,Давлекановский районный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
44,judicial_presence,TERRITORIAL_COURT_7988,03RS0059_Mesagutovo,Салаватский межрайонный суд Республики Башкортостан (судебное присутствие в с. Месягутово),"452530, с. Месягутово, ул. И. Усова, д. 16",https://salavatskiy.bkr.sudrf.ru/modules.php?name=sud_delo,salavatskiy--bkr.sudrf.ru,Салаватский межрайонный суд,63,,1,[1],913410000,Здание 2 (бывший Дуванский районный суд),catalog_and_official_contacts,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,False
45,first_instance,TERRITORIAL_COURT_7989,03RS0040,Дюртюлинский районный суд,"452320, Республика Башкортостан, Дюртюлинский район, г. Дюртюли, ул. Седова, 22",https://diurtiulinsky.bkr.sudrf.ru/modules.php?name=sud_delo,diurtiulinsky--bkr.sudrf.ru,Дюртюлинский районный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
46,judicial_presence,TERRITORIAL_COURT_7990,03RS0030_Ermekeevo,Бижбулякский межрайонный суд Республики Башкортостан (судебное присутствие в с. Ермекеево),"452040, Республика Башкортостан, Бижбулякский район, с. Бижбуляк, ул. Советская, 33",https://bizhbuliaksky.bkr.sudrf.ru/modules.php?name=sud_delo,bizhbuliaksky--bkr.sudrf.ru,Бижбулякский межрайонный суд,37,,1,[1],913410000,Постоянное судебное присутствие в с. Ермекеево Ермекеевского района,named_catalog_entry,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,False
47,judicial_presence,TERRITORIAL_COURT_7991,03RS0051_Isangulovo,Кугарчинский межрайонный суд Республики Башкортостан (судебное присутствие в с. Исянгулово),"453380, Республика Башкортостан, Зианчуринский район, с.Исянгулово, ул.Комсомольская, д.10б",https://kugarchinsky.bkr.sudrf.ru/modules.php?name=sud_delo,kugarchinsky--bkr.sudrf.ru,Кугарчинский межрайонный суд,56,,1,[1],913410001,Кугарчинский Межрайонный суд Республики Башкортостан (ПСП с.Исянгулово),named_catalog_entry,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,False
48,first_instance,TERRITORIAL_COURT_7992,03RS0043,Зилаирский межрайонный суд Республики Башкортостан,"453680, Республика Башкортостан, Зилаирский район, с. Зилаир, ул. Ленина, 35",https://zilairsky.bkr.sudrf.ru/modules.php?name=sud_delo,zilairsky--bkr.sudrf.ru,Зилаирский межрайонный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
49,first_instance,TERRITORIAL_COURT_7993,03RS0044,Иглинский межрайонный суд Республики Башкортостан,"452410, Республика Башкортостан, Иглинский. район, п. Иглино, ул. Ленина, д. 97",https://iglinsky.bkr.sudrf.ru/modules.php?name=sud_delo,iglinsky--bkr.sudrf.ru,Иглинский межрайонный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
50,first_instance,TERRITORIAL_COURT_7994,03RS0045,Илишевский районный суд Республики Башкортостан,"452260, Республика Башкортостан, Илишевский район, с. Верхнее Яркеево, ул. Коммунистическая, 17",https://ilishevsky.bkr.sudrf.ru/modules.php?name=sud_delo,ilishevsky--bkr.sudrf.ru,Илишевский районный суд,,1,1,[1],,,,party_search_page_confirmed_srv1_cards_pending,False
51,judicial_presence,TERRITORIAL_COURT_7995,03RS0049_Kaltasi,Краснокамский межрайонный суд Республики Башкортостан (судебное присутсвие в с. Калтасы),"452860, Республика Башкортостан, Калтасинский район, с. Калтасы, ул. К. Маркса, д. 84",https://krasnokamsky.bkr.sudrf.ru/modules.php?name=sud_delo,krasnokamsky--bkr.sudrf.ru,Краснокамский межрайонный суд,54,,1,[1],913410002,3-е зд: Постоянное Судебное Присутствие в с.Калтасы,named_catalog_entry,confirmed_shared_srv1_catalog_portfolio_completeness_unverified,False
